,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Type_Combined,Outlet_Years,Outlet
0,0,FDA15,249.8092,3735.138,0.016047301,9.3,OUT049,0,1,1,1,14,9
1,2,DRC01,48.2692,443.4228,0.019278216,5.92,OUT018,2,1,2,0,4,3
2,0,FDN15,141.618,2097.27,0.016760075,17.5,OUT049,0,1,1,1,14,9
3,2,FDX07,182.095,732.38,0.06595278007399345,19.2,OUT010,2,0,0,1,15,0
4,1,NCD19,53.8614,994.7052,0.06595278007399345,8.93,OUT013,2,2,1,2,26,1
5,2,FDP36,51.4008,556.6088,0.06595278007399345,10.395,OUT018,2,1,2,1,4,3
6,2,FDO10,57.6588,343.5528,0.012741088999999999,13.65,OUT013,2,2,1,1,26,1
7,0,FDP10,107.7622,4022.7636,0.127469857,12.792854228644991,OUT027,2,1,3,1,28,5
8,2,FDH17,96.9726,1076.5986,0.016687114,16.2,OUT045,1,0,1,1,11,7
9,2,FDU28,187.8214,4710.535,0.09444959,19.2,OUT017,1,0,1,1,6,2
10,0,FDY07,45.5402,1516.0266,0.06595278007399345,11.8,OUT049,0,1,1,1,14,9
11,2,FDA03,144.1102,2187.153,0.045463773,18.5,OUT046,0,0,1,1,16,8
12,2,FDX32,145.4786,1589.2646,0.1000135,15.1,OUT049,0,1,1,1,14,9
13,2,FDS46,119.6782,2145.2076,0.047257328,17.6,OUT046,0,0,1,1,16,8
14,0,FDF32,196.4426,1977.4260000000002,0.06802430000000001,16.35,OUT013,2,2,1,1,26,1
15,2,FDP49,56.3614,1547.3192,0.06908896099999999,9.0,OUT046,0,0,1,1,16,8
16,1,NCB42,115.3492,1621.8888,0.008596051,11.8,OUT018,2,1,2,2,4,3
17,2,FDP49,54.3614,718.3982,0.06919637599999999,9.0,OUT049,0,1,1,1,14,9
18,0,DRI11,113.2834,2303.6679999999997,0.034237682,12.792854228644991,OUT027,2,1,3,0,28,5
19,0,FDU02,230.5352,2748.4224,0.10249212,13.35,OUT035,1,0,1,1,9,6
20,2,FDN22,250.8724,3775.086,0.138190277,18.85,OUT013,2,2,1,1,26,1
21,2,FDW12,144.5444,4064.0432,0.035399923,12.792854228644991,OUT027,2,1,3,1,28,5
22,1,NCB30,196.5084,1587.2672,0.025698133999999997,14.6,OUT035,1,0,1,2,9,6
23,0,FDC37,107.6938,214.3876,0.057556998,12.792854228644991,OUT019,0,0,0,1,28,4
24,2,FDR28,165.021,4078.025,0.025896485,13.85,OUT046,0,0,1,1,16,8
25,1,NCD06,45.906000000000006,838.908,0.099887103,13.0,OUT017,1,0,1,2,6,2
26,2,FDV10,42.3112,1065.28,0.06669343700000001,7.645,OUT035,1,0,1,1,9,6
27,0,DRJ59,39.1164,308.9312,0.019356131999999998,11.65,OUT013,2,2,1,0,26,1
28,2,FDE51,45.5086,178.4344,0.161466534,5.925,OUT010,2,0,0,1,15,0
29,2,FDC14,43.6454,125.8362,0.072221801,12.792854228644991,OUT019,0,0,0,1,28,4
30,0,FDV38,55.7956,163.7868,0.17034855100000001,19.25,OUT010,2,0,0,1,15,0
31,1,NCS17,96.4436,2741.7644,0.080829372,18.6,OUT018,2,1,2,2,4,3
32,0,FDP33,256.6672,3068.0064,0.06595278007399345,18.7,OUT018,2,1,2,1,4,3
33,0,FDO23,93.1436,2174.5028,0.06595278007399345,17.85,OUT045,1,0,1,1,11,7
34,0,DRH01,174.8738,2085.2856,0.097904029,17.5,OUT046,0,0,1,0,16,8
35,1,NCX29,146.7102,3791.0652,0.08929113699999999,10.0,OUT049,0,1,1,2,14,9
36,2,FDV20,128.0678,2797.6916,0.059511812000000004,12.792854228644991,OUT027,2,1,3,1,28,5
37,2,DRZ11,122.5388,1609.9044,0.113123893,8.85,OUT018,2,1,2,0,4,3
38,2,FDX10,36.9874,388.1614,0.12311145300000001,12.792854228644991,OUT027,2,1,3,1,28,5
39,0,FDB34,87.6198,2180.495,0.026480953999999998,12.792854228644991,OUT027,2,1,3,1,28,5
40,0,FDU02,230.6352,3435.528,0.102511504,13.35,OUT046,0,0,1,1,16,8
41,0,FDK43,126.00200000000001,2150.534,0.02681843,9.8,OUT013,2,2,1,1,26,1
