,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1988.1946288901786
1,FDW14,OUT017,1049.2597776710472
2,NCN55,OUT010,2233.7957291180664
3,FDQ58,OUT017,2088.7335119184745
4,FDY38,OUT027,5050.907645779445
5,FDH56,OUT046,1912.7660793349464
6,FDL48,OUT018,1304.5448208482226
7,FDC48,OUT027,2777.1751996669036
8,FDN33,OUT045,1323.763666810502
9,FDA36,OUT017,2601.137900246429
10,FDT44,OUT017,1370.969652877574
11,FDQ56,OUT045,1137.9900808643397
12,NCC54,OUT019,2536.655126034577
13,FDU11,OUT049,2087.594989284136
14,DRL59,OUT013,594.7680924537999
15,FDM24,OUT049,2616.953545212696
16,FDI57,OUT045,2977.61140186639
17,DRC12,OUT018,3572.3191609169085
18,NCM42,OUT027,3194.489836084736
19,FDA46,OUT010,1340.0074613893958
20,FDA31,OUT013,2339.6298484642957
21,NCJ31,OUT035,3350.1568899779354
22,FDG52,OUT046,774.2043795120189
23,NCL19,OUT019,1238.3392035337415
24,FDS10,OUT035,2672.2337488074127
25,FDX22,OUT010,1894.9388243850171
26,NCF19,OUT035,594.3727087030798
27,NCE06,OUT046,2498.9877518355393
28,DRC27,OUT046,3887.917242441508
29,FDE21,OUT035,1696.3308109283553
30,NCR42,OUT019,-542.2745375037653
31,FDX51,OUT018,3662.7085016507267
32,NCR06,OUT018,1248.7991978523182
33,FDU31,OUT027,4943.669123579293
34,FDU59,OUT017,2103.3461633206234
35,FDR03,OUT027,4772.415237037807
36,FDS49,OUT027,2665.662620579148
37,FDD48,OUT010,334.34100160892376
38,NCF18,OUT017,2532.8184193811785
39,NCD43,OUT027,3115.9751490378344
40,NCD54,OUT018,2780.041833881373
41,FDY19,OUT010,339.4321956578706
42,NCY54,OUT017,2113.3985416188325
43,NCL19,OUT018,2827.9042570258994
44,FDP23,OUT010,1929.2701498287893
45,FDC26,OUT013,1333.335537689748
46,FDR14,OUT010,-956.4356493222738
47,NCS41,OUT035,2677.7732139177688
48,FDF41,OUT035,3573.5628669571956
49,FDU34,OUT046,1957.6743641174817
50,DRH11,OUT046,943.3849612996016
51,FDM03,OUT013,1251.5436394197277
52,FDS31,OUT017,2495.9465729206895
53,FDJ20,OUT017,1487.385393122142
54,FDV44,OUT027,4468.01064207747
55,FDG02,OUT049,3251.1781281191093
56,FDA09,OUT013,2635.7269071428163
57,FDT04,OUT013,210.29664022389147
58,FDL58,OUT019,3019.177467226869
59,FDE52,OUT045,1382.9633706548916
60,FDW12,OUT035,2172.040833636828
61,FDL51,OUT017,3014.5974976653365
62,NCY42,OUT027,3708.3198817065636
63,FDR07,OUT017,1073.0173670135346
64,FDN40,OUT045,2217.177470010366
65,FDB35,OUT027,2897.3442414765886
66,FDA22,OUT017,2145.7226491891843
67,NCL06,OUT046,4099.787087470955
68,FDI35,OUT013,2542.084021326579
69,NCW42,OUT045,3318.898683255487
70,NCX06,OUT049,3093.3091309760016
71,FDC37,OUT027,3172.7428701164868
72,FDZ14,OUT018,2492.90456375532
73,DRG49,OUT049,4075.2245305012134
74,NCG06,OUT045,3905.5307666452095
75,DRC36,OUT045,2693.302383739042
76,FDV21,OUT019,541.3142658929523
77,FDB53,OUT046,2227.9877267126417
